fountaintype,position,propname,borough,fountaincount,district,point
A,In Playground,William Sheridan Playground,B,1,"A, In Playground"," (-73.96433243414285,40.71510698843271)"
B,Out in Open,Flushing Meadows Corona Park,Q,1,"B, Out in Open"," (-73.85926692487351,40.76226435493142)"
D,Near Ballfield,Detective Keith L Williams Park,Q,1,"D, Near Ballfield"," (-73.78409918321253,40.70212073070641)"
H,Under Tree,Tudor Park,Q,1,"H, Under Tree"," (-73.85469975031256,40.673280759164555)"
CS Metal,Just Outside Playground,Marconi Park,Q,1,"CS Metal, Just Outside Playground"," (-73.79561029168751,40.69325260251338)"
D,Near Ballfield,LaGuardia Landing Lights,Q,1,"D, Near Ballfield"," (-73.89020605334818,40.76201700149379)"
A,,Cadman Plaza Park,B,1,"A,"," (-73.99037683480482,40.69875603955579)"
E and Dog,"Under Tree, Out in Open",Central Park,M,2,"E and Dog, Under Tree, Out in Open"," (-73.9768924188707,40.76823761064569)"
D,"Near Ballfield, Just Outside Playground",De Witt Clinton Park,M,1,"D, Near Ballfield, Just Outside Playground"," (-73.99423318027853,40.76848586593891)"
Trough,"Under Tree, In Shade, Near Ballfield",Bushwick Inlet Park,B,1,"Trough, Under Tree, In Shade, Near Ballfield"," (-73.96149926843589,40.72206394809012)"
D,In Playground,Bayswater Park,Q,1,"D, In Playground"," (-73.76680977437894,40.59903794784932)"
E,"Out in Open, Under Tree",Coney Island Beach & Boardwalk,B,1,"E, Out in Open, Under Tree"," (-73.99914845650174,40.571805333476604)"
Bottle Filler High Low,"Under Tree, In Playground",City Line Park,B,3,"Bottle Filler High Low, Under Tree, In Playground"," (-73.87441163481513,40.67921879702335)"
A,Near Ballfield,John V. Lindsay East River Park,M,1,"A, Near Ballfield"," (-73.97250612252115,40.72354559499013)"
E and Dog,Out in Open,Franklin D. Roosevelt Boardwalk and Beach,R,2,"E and Dog, Out in Open"," (-74.0769612807298,40.57845936949321)"
C,Near Ballfield,John V. Lindsay East River Park,M,1,"C, Near Ballfield"," (-73.97449563283378,40.71897745246969)"
A,Out in Open,Franklin D. Roosevelt Boardwalk and Beach,R,1,"A, Out in Open"," (-74.09106925246077,40.569067700228544)"
Trough,Out in Open,Rockaway Beach and Boardwalk,Q,1,"Trough, Out in Open"," (-73.7956948583948,40.58717410281478)"
C,"In Shade, In Playground",Gravesend Park,B,1,"C, In Shade, In Playground"," (-73.98539856402716,40.623501760543476)"
Bottle Filler,East of south east corner of Queens Museum.,Flushing Meadows Corona Park,Q,1,"Bottle Filler, East of south east corner of Queens Museum."," (-73.84595104850906,40.74549395266323)"
B,Out in Open,Alley Pond Park,Q,1,"B, Out in Open"," (-73.74136505466844,40.742304718464986)"
C,"Near Ballfield, Out in Open",Cunningham Park,Q,1,"C, Near Ballfield, Out in Open"," (-73.77629126689317,40.72868871414667)"
B,Out in Open,Flushing Meadows Corona Park,Q,1,"B, Out in Open"," (-73.84829205916755,40.76018456872691)"
A,Near Ballfield,Spirit Playground,Q,1,"A, Near Ballfield"," (-73.94172283011719,40.76127793970602)"
Bottle Filler High Low,,Sgt. William Dougherty Playground,B,3,"Bottle Filler High Low,"," (-73.93628641459624,40.72385249602814)"
A,Out in Open,Jackie Robinson Playground,B,1,"A, Out in Open"," (-73.95938173580507,40.66561062989124)"
D,"Out in Open, Near Ballfield",Montbellier Park,Q,1,"D, Out in Open, Near Ballfield"," (-73.75626863386076,40.67574174200727)"
A,Near Ballfield,Dyker Beach Park,B,1,"A, Near Ballfield"," (-74.01469855539871,40.61026176432807)"
C,"Under Tree, Near Ballfield, Just Outside Playground",Chelsea Park,M,1,"C, Under Tree, Near Ballfield, Just Outside Playground"," (-74.00109053076194,40.74983945637902)"
E High Low,In Playground,Central Park,M,2,"E High Low, In Playground"," (-73.96536638923999,40.775721399258444)"
D,"Near Ballfield, Out in Open",Ferry  Park,X,1,"D, Near Ballfield, Out in Open"," (-73.8266541959364,40.821450366030895)"
A,Near Ballfield,Fort Hamilton Athletic Field,B,1,"A, Near Ballfield"," (-74.03627061662476,40.62683898969624)"
Indoor Drinking Fountain,Indoor,The Battery,M,1,"Indoor Drinking Fountain, Indoor"," (-74.01469281878893,40.70174692947754)"
F High Low,Near Ballfield,McKinley Park,B,2,"F High Low, Near Ballfield"," (-74.01762953659062,40.62520542350085)"
F High Low,Out in Open,Heckscher Playground,B,2,"F High Low, Out in Open"," (-73.91788506922906,40.69536266679141)"
A,Out in Open,Wingate Park,B,1,"A, Out in Open"," (-73.94351067102764,40.658021656241615)"
A,Out in Open,South Pacific Playground,B,1,"A, Out in Open"," (-73.92060893692027,40.67589826773587)"
A,,Virginia Park,X,1,"A,"," (-73.86170975779942,40.83356064762903)"
Indoor Drinking Fountain,Indoor,Williamsbridge Oval,X,1,"Indoor Drinking Fountain, Indoor"," (-73.878571066549,40.8766566741529)"
A,In Playground,Clove Lakes Park,R,1,"A, In Playground"," (-74.1063874345895,40.61852605556781)"
Indoor Drinking Fountain,Indoor,Bronx Park,X,1,"Indoor Drinking Fountain, Indoor"," (-73.87039306855597,40.84714198381656)"
C,In Playground,Cooper Park,B,1,"C, In Playground"," (-73.93748275069343,40.71616226736404)"
Trough,,Hunter's  South Park,Q,1,"Trough,"," (-73.9598929229571,40.738866806961916)"
C,"Under Tree, Near Ballfield, Just Outside Playground",First Park,M,1,"C, Under Tree, Near Ballfield, Just Outside Playground"," (-73.98929486832168,40.72349980108499)"
A,"Under Tree, In Playground",American Playground,B,1,"A, Under Tree, In Playground"," (-73.95813400530048,40.728744878472824)"
C,Out in Open,Van Cortlandt Park,X,1,"C, Out in Open"," (-73.89485368656665,40.89713021668095)"
A,"In Playground, Just Outside Playground",Frank D. O'Connor Playground,Q,1,"A, In Playground, Just Outside Playground"," (-73.88662915991742,40.74438993084639)"
Other,"In Shade, Near Ballfield",East River Waterfront Esplanade,M,1,"Other, In Shade, Near Ballfield"," (-73.99152303884358,40.70973092745083)"
A,"Near Ballfield, Under Tree",Sternberg Park,B,1,"A, Near Ballfield, Under Tree"," (-73.9468694816106,40.7068607817797)"
E,Near Ballfield,Alfred E. Smith Playground,M,1,"E, Near Ballfield"," (-73.99788621883397,40.71025918521192)"
E,Out in Open,Asser Levy Park,B,1,"E, Out in Open"," (-73.97015875093318,40.57486376924776)"
D,"Out in Open, Just Outside Playground",Jerome Playground,B,1,"D, Out in Open, Just Outside Playground"," (-73.87950940487836,40.65884863248092)"
A,Near Ballfield,Walker Park,R,1,"A, Near Ballfield"," (-74.11022936741053,40.643048570792715)"
A,"Under Tree, In Playground, Near Ballfield",Holcombe Rucker Park,M,1,"A, Under Tree, In Playground, Near Ballfield"," (-73.936438552294,40.829006393750824)"
D,In Playground,Dyker Beach Park,B,1,"D, In Playground"," (-74.01300786234192,40.61306494850183)"
C,"Under Tree, In Playground",Mount Hope Playground,X,1,"C, Under Tree, In Playground"," (-73.90946353721453,40.85015932655149)"
E,Near Ballfield,Juniper Valley Park,Q,1,"E, Near Ballfield"," (-73.88287559764319,40.71966132132875)"
A,"Out in Open, In Playground",Crotona Park,X,1,"A, Out in Open, In Playground"," (-73.89044369320233,40.83732953502141)"
Bottle Filler High Low,Out in Open,Dome Playground,B,3,"Bottle Filler High Low, Out in Open"," (-73.98007225198893,40.63803837213456)"
A,Out in Open,Detective Keith L Williams Park,Q,1,"A, Out in Open"," (-73.78533068480898,40.703887544433755)"
E High Low,"Out in Open, In Playground",Millbrook Playground,X,2,"E High Low, Out in Open, In Playground"," (-73.91705101553045,40.80437902332184)"
E,Near Ballfield,J.J. Byrne Playground,B,1,"E, Near Ballfield"," (-73.98570856030258,40.67354175099253)"
Bottle Filler High Low,Out in Open,Franklin D. Roosevelt Boardwalk and Beach,R,3,"Bottle Filler High Low, Out in Open"," (-74.06512608578825,40.5901087391248)"
C,Near Ballfield,Riverside Park,M,1,"C, Near Ballfield"," (-73.97364094629872,40.80056967527825)"
Drinking Fountain Sink Combination,Indoor,Clove Lakes Park,R,2,"Drinking Fountain Sink Combination, Indoor"," (-74.10733656929821,40.61822428658572)"
A,Under Tree,Kissena Park,Q,1,"A, Under Tree"," (-73.80769308331078,40.74749977996863)"
C,"Under Tree, In Shade",Haffen Park,X,1,"C, Under Tree, In Shade"," (-73.83963367458463,40.8738250100142)"
D,Near Ballfield,De Witt Clinton Park,M,1,"D, Near Ballfield"," (-73.99327813311575,40.768385164897836)"
Bottle Filler,Indoor,Forest Park,Q,1,"Bottle Filler, Indoor"," (-73.85859782385609,40.700871898487314)"
A,"Out in Open, Near Ballfield",Green Central Knoll,B,1,"A, Out in Open, Near Ballfield"," (-73.93234539254998,40.701822419782495)"
D,Out in Open,Starlight Park,X,1,"D, Out in Open"," (-73.8826467640672,40.83395358560674)"
C,In Playground,Van Voorhees Playground,B,1,"C, In Playground"," (-73.9993634877068,40.68968000190907)"
D,"Near Ballfield, Out in Open",Harris Park,X,1,"D, Near Ballfield, Out in Open"," (-73.89080259283395,40.87621864004129)"
A,"Under Tree, In Shade, Near Ballfield",Dr. Green Playground,B,1,"A, Under Tree, In Shade, Near Ballfield"," (-73.90664302892628,40.666935428959206)"
E High Low,"In Playground, Out in Open",Williamsbridge Oval,X,2,"E High Low, In Playground, Out in Open"," (-73.87856011280397,40.87715945653386)"
G,"Under Tree, In Shade",Railroad Park,X,1,"G, Under Tree, In Shade"," (-73.91533645228073,40.82498261290128)"
E and Dog,"Under Tree, In Shade",Hillside Dog Park,B,2,"E and Dog, Under Tree, In Shade"," (-73.99434855575456,40.701741745518916)"
A,In Playground,Ditmars Playground,Q,1,"A, In Playground"," (-73.90757561394236,40.77129606463572)"
A,Out in Open,Juniper Valley Park,Q,1,"A, Out in Open"," (-73.88468926131762,40.72043086161213)"
E,In Playground,Cooper Park,B,1,"E, In Playground"," (-73.93630283524428,40.715499528369534)"
E,Out in Open,Manhattan Beach Park,B,1,"E, Out in Open"," (-73.94635159657616,40.5759631749739)"
F High Low,"In Playground, Near Ballfield",Gertrude Ederle Recreation Center,M,2,"F High Low, In Playground, Near Ballfield"," (-73.98861622128773,40.7713456536296)"
C,Near Ballfield,Mullaly Park,X,1,"C, Near Ballfield"," (-73.92338266577492,40.83339070921405)"
C,Out in Open,Laurelton Parkway,Q,1,"C, Out in Open"," (-73.72691452383496,40.68488878724512)"
Indoor Drinking Fountain,Indoor,Flushing Meadows Corona Park,Q,1,"Indoor Drinking Fountain, Indoor"," (-73.84296146325244,40.751670711267316)"
